,PM10_XGB
2023-07-19,13.505146
2023-07-20,13.170909
2023-07-21,10.993431
2023-07-22,9.307992
2023-07-23,8.452854
2023-07-24,9.232868
2023-07-25,9.502212
2023-07-26,10.054326
2023-07-27,7.5518336
2023-07-28,7.9389267
2023-07-29,19.652313
2023-07-30,11.171583
2023-07-31,11.02166
2023-08-01,10.584342
2023-08-02,11.078622
2023-08-03,12.858116
2023-08-04,12.506713
2023-08-05,11.344025
2023-08-06,12.453865
2023-08-07,12.482518
2023-08-08,12.638494
2023-08-09,11.783178
2023-08-10,12.9498415
2023-08-11,12.3623705
2023-08-12,11.626199
2023-08-13,15.613575
2023-08-14,16.0819
2023-08-15,20.469889
2023-08-16,12.307963
2023-08-17,13.432597
2023-08-18,9.765642
2023-08-19,11.357481
2023-08-20,24.886543
2023-08-21,20.139847
2023-08-22,24.6279
2023-08-23,17.067535
2023-08-24,20.386396
2023-08-25,26.027122
2023-08-26,28.98039
2023-08-27,34.880547
2023-08-28,20.220667
2023-08-29,18.426058
2023-08-30,17.563292
2023-08-31,35.17878
2023-09-01,38.635788
2023-09-02,28.62489
2023-09-03,15.1739435
2023-09-04,11.306014
2023-09-05,13.081826
2023-09-06,37.019047
2023-09-07,16.068811
2023-09-08,13.158686
2023-09-09,11.195306
2023-09-10,20.782387
2023-09-11,13.503306
2023-09-12,11.211082
2023-09-13,11.073278
2023-09-14,40.35911
2023-09-15,28.393494
2023-09-16,10.873364
2023-09-17,12.844428
2023-09-18,12.11984
2023-09-19,13.350493
2023-09-20,13.754952
2023-09-21,16.834938
2023-09-22,14.310346
2023-09-23,13.696531
2023-09-24,17.088375
2023-09-25,14.367054
2023-09-26,15.037788
2023-09-27,32.797028
2023-09-28,27.080387
2023-09-29,19.91625
2023-09-30,24.761272
2023-10-01,25.924881
2023-10-02,21.344057
2023-10-03,20.372925
2023-10-04,16.377022
2023-10-05,23.226461
2023-10-06,35.21428
2023-10-07,25.076727
2023-10-08,23.091728
2023-10-09,22.122185
2023-10-10,17.526455
2023-10-11,12.004398
2023-10-12,14.377615
2023-10-13,29.582085
2023-10-14,24.176231
2023-10-15,21.701075
2023-10-16,16.609446
2023-10-17,12.5265465
2023-10-18,14.909943
2023-10-19,14.273086
2023-10-20,16.980011
2023-10-21,12.37207
2023-10-22,12.520518
2023-10-23,9.272692
2023-10-24,10.359594
2023-10-25,21.97569
2023-10-26,27.998203
2023-10-27,19.638712
2023-10-28,15.0829315
2023-10-29,11.584046
2023-10-30,22.72041
2023-10-31,16.985203
2023-11-01,15.4990835
2023-11-02,28.26975
2023-11-03,10.818209
2023-11-04,18.22173
2023-11-05,14.180921
2023-11-06,12.57684
2023-11-07,9.793458
2023-11-08,8.878293
2023-11-09,9.847285
2023-11-10,9.880401
2023-11-11,10.300505
2023-11-12,8.334342
2023-11-13,9.666872
2023-11-14,13.894552
2023-11-15,11.131036
2023-11-16,12.114769
2023-11-17,24.085955
2023-11-18,15.224838
2023-11-19,23.088785
2023-11-20,23.534714
2023-11-21,17.867796
2023-11-22,13.912939
2023-11-23,15.159446
2023-11-24,8.915763
2023-11-25,11.923971
2023-11-26,12.748282
2023-11-27,11.304624
2023-11-28,9.624986
2023-11-29,11.789572
2023-11-30,9.670935
2023-12-01,11.122529
2023-12-02,9.939746
2023-12-03,10.370366
2023-12-04,10.048547
2023-12-05,14.070439
2023-12-06,19.246414
2023-12-07,14.414729
2023-12-08,9.881219
2023-12-09,8.876003
2023-12-10,11.1342535
2023-12-11,14.445263
2023-12-12,10.308925
2023-12-13,8.96235
2023-12-14,11.286567
2023-12-15,10.730117
2023-12-16,14.155083
2023-12-17,12.416065
2023-12-18,12.763158
2023-12-19,11.449182
2023-12-20,11.628895
2023-12-21,12.124704
2023-12-22,13.012565
2023-12-23,13.828543
2023-12-24,14.609287
2023-12-25,10.158294
2023-12-26,11.175456
2023-12-27,16.699207
2023-12-28,10.912229
2023-12-29,9.570662
2023-12-30,15.3734255
2023-12-31,28.883863
